 freq_hz  | rolling_mean | signal_dbm 
 89100532 |   -12.977647 |     -13.72
 89103256 |   -13.027647 |        -14
 89105981 |   -13.048823 |     -13.75
 89108705 |       -13.05 |     -13.65
 89111429 |   -13.077059 |     -13.84
 89114153 |       -13.11 |      -13.9
 89116877 |   -13.222941 |     -14.65
 89119601 |   -13.339412 |     -14.62
 89122325 |   -13.430588 |     -15.03
 89125049 |   -13.512353 |     -14.85
 89127773 |   -13.689412 |     -15.66
 89130497 |   -13.856471 |      -16.3
 89133221 |  -13.9923525 |     -15.75
 89135946 |   -14.204706 |     -15.95
 89138670 |   -14.545294 |     -15.86
 89141394 |   -14.745882 |     -16.03
 89144118 |   -14.895294 |     -15.66
 89146842 |   -15.032941 |     -16.06
 89149566 |   -15.127647 |     -15.61
 89152290 |   -15.330588 |      -17.2
 89155014 |   -15.454118 |     -15.75
 89157738 |   -15.556471 |     -15.58
 89160462 |   -15.661177 |     -15.68
 89163186 |   -15.757059 |     -16.28
 89165911 |   -15.828823 |     -15.84
 89168635 |   -15.834706 |     -15.13
 89171359 |  -15.8970585 |     -15.91
 89174083 |   -15.927647 |     -16.18
 89176807 |   -15.892353 |      -15.7
 89179531 |   -15.884118 |     -15.61
 89182255 |   -15.859412 |     -15.53
 89184979 |    -15.81647 |     -15.13
 89187703 |   -15.819412 |     -16.08
 89190427 |       -15.82 |     -15.67
 89193151 |   -15.770588 |     -15.22
 89195876 |   -15.802353 |     -16.15
 89198600 |   -15.705294 |     -15.55
 89201324 |   -15.665882 |     -15.08
 89204048 |   -15.680588 |     -15.83
 89206772 |   -15.702353 |     -16.05
 89209496 |   -15.651765 |     -15.42
 89212220 |   -15.634706 |     -15.55
 89214944 |   -15.637647 |     -15.18
 89217668 |  -15.6111765 |     -15.46
 89220392 |   -15.524706 |     -14.71
 89223116 |   -15.514117 |     -15.52
 89225841 |   -15.545294 |     -16.14
 89228565 |   -15.557059 |     -15.73
 89231289 |   -15.528235 |     -14.64
 89234013 |   -15.497647 |     -15.56
 89236737 |   -15.495882 |     -15.64
 89239461 |   -15.478824 |     -14.93
 89242185 |   -15.417647 |     -15.11
 89244909 |       -15.35 |      -14.4
 89247633 |   -15.351765 |     -15.11
 89250357 |   -15.371765 |     -16.17
 89253081 |       -15.26 |     -14.15
 89255805 |   -15.191176 |     -14.25
 89258530 |   -15.103529 |     -14.06
 89261254 |   -15.028824 |     -13.91
 89263978 |   -14.965882 |     -14.39
